ds,yhat,yhat_lower,yhat_upper
2025-06-12 20:23:21.930,5171.680468761227,1544.1999738009376,8770.860121374151
2025-06-12 20:23:24.942,5171.763038282771,1731.5892006047761,8701.891262633344
2025-06-12 20:23:25.934,5171.7902324943825,1564.7780954314062,8831.274497158944
2025-06-12 20:23:28.964,5171.873295432668,1691.4785473932,8699.27306196329
2025-06-12 20:23:29.939,5171.900023605878,2056.3686855938067,8796.400488416633
2025-06-12 20:23:32.945,5171.982428619899,1580.3975110716713,8846.722049062111
2025-06-12 20:23:33.933,5172.009513168753,1761.7477011335936,8888.736171571603
2025-06-12 20:23:36.936,5172.09183594224,1439.4608207169954,8818.024691955656
2025-06-12 20:23:39.942,5172.174240956262,1258.692261125544,8775.9375761517
2025-06-12 20:23:40.933,5172.201407745649,1625.6399394205416,8845.330471439524
2025-06-12 20:23:43.940,5172.28384017318,1364.9837741754034,8906.301261880235
2025-06-12 20:23:44.941,5172.311281097676,1633.7516826126478,8613.091613758897
2025-06-12 20:23:47.937,5172.393411914974,1500.5373238182858,8563.037945627895
2025-06-12 20:23:48.935,5172.420770578413,1688.905006260732,8878.289194220246
2025-06-12 20:23:51.939,5172.503120703634,1896.8946315181809,8890.598272751624
2025-06-12 20:23:54.939,5172.5853611748935,1310.546940272253,8670.79338807261
2025-06-12 20:23:55.937,5172.612719838332,1970.6129114280193,8819.056822346964
2025-06-12 20:23:58.939,5172.695015136573,1576.0229072203301,9092.78299614191
2025-06-12 20:23:59.937,5172.72237380001,1673.770082988552,8802.054611523312
2025-06-12 20:24:02.942,5172.804751338722,1591.9016491607315,8831.238824705966
2025-06-12 20:24:03.951,5172.832411550555,1324.171697413056,8769.531025799988
2025-06-12 20:24:06.939,5172.9143235069805,1460.760342786072,8882.055646957355
2025-06-12 20:24:07.943,5172.941846801576,1804.9792328349874,8880.998415163145
2025-06-12 20:24:10.940,5173.024005480761,1703.2927732989253,8526.606531435506
2025-06-12 20:24:13.946,5173.106410882708,1491.6786796420417,8689.74262813758
2025-06-12 20:24:14.939,5173.133632627262,1476.6804510987195,8648.846853441773
2025-06-12 20:24:17.942,5173.215955788288,1617.9206105026801,9002.68085577168
2025-06-12 20:24:18.943,5173.243396841963,1663.4976316928405,8936.767123833792
2025-06-12 20:24:21.942,5173.325610348428,1436.5917466058622,8633.740268484602
2025-06-12 20:24:22.949,5173.353215883943,1413.6870573633078,8971.10803330928
2025-06-12 20:24:25.961,5173.43578613627,1514.0051178134697,8795.46261669148
2025-06-12 20:24:26.940,5173.462624209652,1545.8215516359608,8766.908233295744
2025-06-12 20:24:29.953,5173.545221875739,1427.8698098207772,8605.706671871296
2025-06-12 20:24:32.949,5173.627353507867,1600.5499616344305,8655.313200201781
2025-06-12 20:24:33.964,5173.655178476695,1476.4269411937546,8941.222405070414
2025-06-12 20:24:36.961,5173.737337522585,1488.5350946847836,8638.595637533523
2025-06-12 20:24:37.943,5173.764257837255,1702.537578749227,8864.582995097035
2025-06-12 20:24:40.947,5173.846608779481,1393.2860351230197,8596.685645442494
2025-06-12 20:24:43.948,5173.928877480422,1594.4522560594503,8795.69498706779
